141.65,140.93,126.44,28,24,13,164,158,151,35.48,35.57,36.94,136.51,32.37,21,158,38.54,14.13,57.8,18.14,13.4,13.11,33.75,10.07,61.96,32.31,7.74,64.31,6.71,6.67,6.76,6.82,I
140.43,137.94,123.2,15,11,127,154,145,137,32.11,32.32,33.27,133.22,28.43,8,142,43.54,15.7,57.38,37.43,12.86,11.98,32.31,13.56,57.25,30,16.67,60.39,6.75,6.76,6.84,6.88,I
123.84,117.19,99.47,115,105,89,104,89,74,33.79,36.88,34.1,112.08,31.73,102,87,34.02,23.02,50.69,19.79,12.07,13.6,30,21.87,46.67,30,25,40.78,6.72,6.73,6.8,6.79,I
137.7,133.53,119.35,19,12,0,158,147,138,34.87,35.64,36.62,128.88,32.64,8,144,34.7,16.78,56.08,24.67,13.13,13.04,30,13.93,58.82,33.75,10,61.96,6.91,6.86,6.96,7.02,I
90.99,81.7,69.09,88,75,66,78,70,54,18.54,25.27,19.12,78.33,18.27,74,62,27.66,26.22,36.93,14.06,10.24,9.12,22.86,25.26,34.51,22.5,28.57,30.59,6.02,5.96,6.1,6.12,I
100.54,92.3,77.22,100,88,77,96,82,69,20.95,25.94,19.58,86.81,16.58,86,78,33.26,25.61,41.25,38.89,11.71,9.5,27.27,23.4,39.61,22.5,20,37.65,6.06,6.14,6.16,6.16,I
103.53,97.02,80.05,102,91,79,101,92,79,23.45,28.19,22.09,91.75,19.9,89,87,33.03,25.25,42.56,16.52,11.32,10.7,30,23.01,40.39,22.5,25,39.61,6.24,6.32,6.32,6.33,I
96.02,89.92,72.76,89,79,65,88,76,54,29.96,36.86,30.45,84.55,30.13,76,73,32.76,28.21,39.81,17.42,13.18,13.49,30,26.58,35.69,33.1,33.33,34.51,6.65,6.64,6.75,6.72,I
71.49,64.49,50.68,67,56,46,58,56,36,24.25,34.25,23.45,59.38,23.12,54,47,30.86,33.15,30,33.99,12.34,12.7,27.27,31.88,26.67,30,33.33,22.75,6.26,6.31,6.39,6.28,I
77.36,69.06,57.2,70,58,48,59,49,42,31.95,37.22,33.95,65.57,32.8,57,49,29.83,30.51,31.45,18.11,13.61,13.83,27.27,30.26,27.84,30,33.33,23.14,6.47,6.48,6.52,6.54,I
